d,size,w,p_value,significant,grp1 correlation values,grp2 correlation values
-0.06870772517,negligible,1308,0.5433461711,no,introSLOC_with_revisions,lastSLOC_with_revisions
-0.1238875044,negligible,1230.5,0.2722391181,no,lastSLOC_with_revisions,avgSLOC_with_revisions
-0.08437166251,negligible,1286,0.4552085603,no,lastSLOC_with_revisions,medianSLOC_with_revisions
0.04485582058,negligible,1467.5,0.692422608,no,avgSLOC_with_revisions,medianSLOC_with_revisions
-0.1238875044,negligible,1230.5,0.2725430116,no,avgSLOC_with_revisions,versioned_sloc_with_revisions
-0.1961552154,small,1129,0.08178101255,no,introSLOC_with_revisions,avgSLOC_with_revisions
-0.1502313991,small,1193.5,0.1827090456,no,introSLOC_with_revisions,medianSLOC_with_revisions
-0.2043431826,small,1117.5,0.06994736841,no,lastSLOC_with_revisions,versioned_sloc_with_revisions
-0.1505873977,small,1193,0.1820934132,no,medianSLOC_with_revisions,versioned_sloc_with_revisions
-0.9725881096,large,38.5,5.97E-18,yes,introSLOC_with_revisions,stdSLOC_with_revisions
-0.967248131,large,46,9.12E-18,yes,lastSLOC_with_revisions,stdSLOC_with_revisions
-0.9608401566,large,55,1.49E-17,yes,avgSLOC_with_revisions,stdSLOC_with_revisions
-0.9636881452,large,51,1.20E-17,yes,medianSLOC_with_revisions,stdSLOC_with_revisions
0.9302242791,large,2711,1.52E-16,yes,stdSLOC_with_revisions,versioned_sloc_with_revisions
-0.2616589534,small,1037,0.02025483272,yes,introSLOC_with_revisions,versioned_sloc_with_revisions
-0.9170523318,large,116.5,4.00E-16,yes,avgSLOC_with_bugs,stdSLOC_with_bugs
0.232946299,small,1699,0.0396484653,yes,avgSLOC_with_bugs,versioned_sloc_with_bugs
0.03488786045,negligible,1453.5,0.7589726501,no,avgSLOC_with_bugs,medianSLOC_with_bugs
-0.9419722321,large,81.5,6.33E-17,yes,introSLOC_with_bugs,stdSLOC_with_bugs
-0.06585973656,negligible,1312,0.5605307571,no,introSLOC_with_bugs,lastSLOC_with_bugs
-0.1406194375,negligible,1207,0.2127386456,no,introSLOC_with_bugs,avgSLOC_with_bugs
-0.11000356,negligible,1250,0.330004427,no,introSLOC_with_bugs,medianSLOC_with_bugs
0.07946298984,negligible,1487.5,0.4841960709,no,introSLOC_with_bugs,versioned_sloc_with_bugs
-0.929512282,large,99,1.59E-16,yes,lastSLOC_with_bugs,stdSLOC_with_bugs
-0.07582769669,negligible,1298,0.5024227721,no,lastSLOC_with_bugs,avgSLOC_with_bugs
-0.04414382342,negligible,1342.5,0.6971477668,no,lastSLOC_with_bugs,medianSLOC_with_bugs
0.1476777939,small,1581.5,0.1925063846,no,lastSLOC_with_bugs,versioned_sloc_with_bugs
-0.9213243147,large,110.5,2.93E-16,yes,medianSLOC_with_bugs,stdSLOC_with_bugs
0.1941219158,small,1645.5,0.08653625861,no,medianSLOC_with_bugs,versioned_sloc_with_bugs
0.9727866473,large,2718.5,8.52E-18,yes,stdSLOC_with_bugs,versioned_sloc_with_bugs