corr,p_value,significant,correlation between,repo
-0.06,1.30E-31,yes,versionedSLOC_with_revision_density,antlr4
0.08,2.35E-70,yes,versionedSLOC_with_revision_density,assertj-core
-0.28,4.63E-226,yes,versionedSLOC_with_revision_density,astyanax
0.1,4.57E-32,yes,versionedSLOC_with_revision_density,atmosphere
0,0.7117940594,no,versionedSLOC_with_revision_density,drill
-0.19,8.35E-306,yes,versionedSLOC_with_revision_density,DSpace
-0.2,1.59E-105,yes,versionedSLOC_with_revision_density,Essentials
-0.07,8.69E-125,yes,versionedSLOC_with_revision_density,flink
0.12,1.19E-27,yes,versionedSLOC_with_revision_density,flyway
0.08,1.76E-115,yes,versionedSLOC_with_revision_density,guava
0.1,6.07E-15,yes,versionedSLOC_with_revision_density,hawtio
-0.01,0.2658017702,no,versionedSLOC_with_revision_density,hector
-0.17,0,yes,versionedSLOC_with_revision_density,hibernate-orm
0.08,3.96E-17,yes,versionedSLOC_with_revision_density,Hystrix
0.03,1.20E-11,yes,versionedSLOC_with_revision_density,jetty.project
-0.26,0,yes,versionedSLOC_with_revision_density,logging-log4j2
-0.09,7.54E-20,yes,versionedSLOC_with_revision_density,lombok
-0.12,1.29E-113,yes,versionedSLOC_with_revision_density,mongo-java-driver
-0.01,0.1727094407,no,versionedSLOC_with_revision_density,mybatis-3
0.02,6.20E-06,yes,versionedSLOC_with_revision_density,netty
-0.12,1.23E-127,yes,versionedSLOC_with_revision_density,openmrs-core
-0.13,4.37E-27,yes,versionedSLOC_with_revision_density,rabbitmq-java-client
0.16,5.16E-216,yes,versionedSLOC_with_revision_density,RxJava
0.04,2.96E-50,yes,versionedSLOC_with_revision_density,sonarqube
0.14,3.01E-299,yes,versionedSLOC_with_revision_density,soot
0.06,0.006347201474,yes,versionedSLOC_with_revision_density,spark
-0.25,0,yes,versionedSLOC_with_revision_density,spring-framework
0.03,9.26E-05,yes,versionedSLOC_with_revision_density,swagger-core
-0.17,4.00E-64,yes,versionedSLOC_with_revision_density,truth
-0.25,8.01E-119,yes,versionedSLOC_with_revision_density,Twitter4J
0.02,0.0009357631649,yes,versionedSLOC_with_revision_density,voldemort
-0.04,0.0002822230013,yes,versionedSLOC_with_revision_density,vraptor4
0.14,0,yes,versionedSLOC_with_revision_density,wildfly
-0.01,0.2506995356,no,versionedSLOC_with_revision_density,ant
-0.18,3.05E-181,yes,versionedSLOC_with_revision_density,checkstyle
-0.3,1.49E-120,yes,versionedSLOC_with_revision_density,commons-io
-0.07,6.62E-22,yes,versionedSLOC_with_revision_density,commons-lang
-0.12,9.53E-36,yes,versionedSLOC_with_revision_density,cucumber-jvm
0.13,9.32E-187,yes,versionedSLOC_with_revision_density,docx4j
0.32,0,yes,versionedSLOC_with_revision_density,fastjson
-0.04,0.001996072112,yes,versionedSLOC_with_revision_density,gson
-0.37,0,yes,versionedSLOC_with_revision_density,hibernate-search
-0.36,0,yes,versionedSLOC_with_revision_density,javaparser
-0.06,1.93E-20,yes,versionedSLOC_with_revision_density,jgit
-0.28,2.99E-155,yes,versionedSLOC_with_revision_density,jna
-0.2,9.93E-70,yes,versionedSLOC_with_revision_density,junit4
-0.15,1.58E-94,yes,versionedSLOC_with_revision_density,junit5
-0.11,5.91E-37,yes,versionedSLOC_with_revision_density,mockito
-0.24,1.39E-189,yes,versionedSLOC_with_revision_density,okhttp
-0.15,1.16E-250,yes,versionedSLOC_with_revision_density,pmd
-0.21,0,yes,versionedSLOC_with_revision_density,spring-boot
0.18,3.09E-94,yes,versionedSLOC_with_revision_density,titan
-0.12,2.56E-208,yes,versionedSLOC_with_revision_density,wicket
0.02,0.0001848814995,yes,versionedSLOC_with_bug_density,antlr4
0.11,1.52E-113,yes,versionedSLOC_with_bug_density,assertj-core
-0.09,2.10E-21,yes,versionedSLOC_with_bug_density,astyanax
0.15,1.38E-59,yes,versionedSLOC_with_bug_density,atmosphere
0.12,2.38E-186,yes,versionedSLOC_with_bug_density,drill
0.04,1.10E-12,yes,versionedSLOC_with_bug_density,DSpace
0.16,5.38E-57,yes,versionedSLOC_with_bug_density,Essentials
0.11,2.18E-215,yes,versionedSLOC_with_bug_density,flink
0.1,3.84E-19,yes,versionedSLOC_with_bug_density,flyway
0.14,0,yes,versionedSLOC_with_bug_density,guava
0.09,3.74E-11,yes,versionedSLOC_with_bug_density,hawtio
0.16,4.37E-31,yes,versionedSLOC_with_bug_density,hector
0.11,1.17E-250,yes,versionedSLOC_with_bug_density,hibernate-orm
0.16,8.07E-53,yes,versionedSLOC_with_bug_density,Hystrix
0.16,4.46E-298,yes,versionedSLOC_with_bug_density,jetty.project
0.06,2.86E-22,yes,versionedSLOC_with_bug_density,logging-log4j2
0.07,1.84E-11,yes,versionedSLOC_with_bug_density,lombok
0.05,7.18E-19,yes,versionedSLOC_with_bug_density,mongo-java-driver
0.2,3.11E-77,yes,versionedSLOC_with_bug_density,mybatis-3
0.14,2.38E-227,yes,versionedSLOC_with_bug_density,netty
0.09,6.09E-52,yes,versionedSLOC_with_bug_density,openmrs-core
-0.01,0.365683509,no,versionedSLOC_with_bug_density,rabbitmq-java-client
0.09,6.34E-71,yes,versionedSLOC_with_bug_density,RxJava
0.1,2.71E-305,yes,versionedSLOC_with_bug_density,sonarqube
0.2,0,yes,versionedSLOC_with_bug_density,soot
0.06,0.005387447232,yes,versionedSLOC_with_bug_density,spark
0.08,1.04E-145,yes,versionedSLOC_with_bug_density,spring-framework
0.13,9.04E-43,yes,versionedSLOC_with_bug_density,swagger-core
0.05,6.11E-06,yes,versionedSLOC_with_bug_density,truth
0.13,8.91E-28,yes,versionedSLOC_with_bug_density,Twitter4J
0.1,3.67E-43,yes,versionedSLOC_with_bug_density,voldemort
0.12,2.83E-23,yes,versionedSLOC_with_bug_density,vraptor4
0.15,0,yes,versionedSLOC_with_bug_density,wildfly
0.15,5.79E-149,yes,versionedSLOC_with_bug_density,ant
0.09,3.82E-35,yes,versionedSLOC_with_bug_density,checkstyle
-0.06,1.49E-05,yes,versionedSLOC_with_bug_density,commons-io
0.08,1.19E-25,yes,versionedSLOC_with_bug_density,commons-lang
0.06,5.41E-10,yes,versionedSLOC_with_bug_density,cucumber-jvm
0.14,1.21E-208,yes,versionedSLOC_with_bug_density,docx4j
0.19,4.70E-187,yes,versionedSLOC_with_bug_density,fastjson
0.07,9.76E-07,yes,versionedSLOC_with_bug_density,gson
0.08,9.25E-52,yes,versionedSLOC_with_bug_density,hibernate-search
0.08,6.58E-40,yes,versionedSLOC_with_bug_density,javaparser
0.07,1.82E-22,yes,versionedSLOC_with_bug_density,jgit
0.05,2.48E-05,yes,versionedSLOC_with_bug_density,jna
0.07,1.66E-08,yes,versionedSLOC_with_bug_density,junit4
0.08,1.02E-18,yes,versionedSLOC_with_bug_density,junit5
0.03,0.0008926772741,yes,versionedSLOC_with_bug_density,mockito
0.09,8.49E-23,yes,versionedSLOC_with_bug_density,okhttp
0.11,7.56E-111,yes,versionedSLOC_with_bug_density,pmd
0.02,0.0002051462903,yes,versionedSLOC_with_bug_density,spring-boot
0.17,4.41E-71,yes,versionedSLOC_with_bug_density,titan
0,0.7364092526,no,versionedSLOC_with_bug_density,wicket