d,size,w,p_value,significant,grp1,grp2
0.8426486294,large,2588,7.46E-14,yes,sloc-revisions-0-0.5,sloc-revisions-0.5-1
0.8134567462,large,2547,5.12E-13,yes,sloc-revisions-0-0.5,sloc-revisions-1-2
0.8392597968,large,2534.5,1.24E-13,yes,sloc-revisions-0-0.5,sloc-revisions-2-3
0.2571217166,small,2319,3.14E-10,yes,sloc-revisions-0-0.5,sloc-revisions-3-4
-0.2963374029,small,2279,1.63E-09,yes,sloc-revisions-0-0.5,sloc-revisions-4+
-0.4129181084,medium,1415,0.4452143221,no,sloc-revisions-3-4,sloc-revisions-4+
-0.208259167,small,1112,0.06466611951,no,sloc-revisions-0.5-1,sloc-revisions-1-2
0.03519593614,negligible,1426.5,0.7581309061,no,sloc-revisions-0.5-1,sloc-revisions-2-3
-0.1994080651,small,1166,0.2286048962,no,sloc-revisions-0.5-1,sloc-revisions-3-4
-0.4158342582,medium,1324,0.8605145204,no,sloc-revisions-0.5-1,sloc-revisions-4+
0.2347605225,small,1701.5,0.03822100596,yes,sloc-revisions-1-2,sloc-revisions-2-3
-0.07325194229,negligible,1363.5,0.9403077977,no,sloc-revisions-1-2,sloc-revisions-3-4
-0.3603403626,medium,1590.5,0.1205282875,no,sloc-revisions-1-2,sloc-revisions-4+
-0.2424585219,small,1103.5,0.1428226145,no,sloc-revisions-2-3,sloc-revisions-3-4
-0.4343891403,medium,1246.5,0.6020104463,no,sloc-revisions-2-3,sloc-revisions-4+
0.5375578498,large,2159.5,1.81E-06,yes,sloc-bugs-0-0.5,sloc-bugs-0.5-1
0.5297258811,large,2148.5,2.53E-06,yes,sloc-bugs-0-0.5,sloc-bugs-1-2
0.5642235123,large,2155.5,6.09E-07,yes,sloc-bugs-0-0.5,sloc-bugs-2-3
0.6145024047,large,2182,6.47E-08,yes,sloc-bugs-0-0.5,sloc-bugs-3-4
-0.2282648909,small,1845,0.001319337115,yes,sloc-bugs-0-0.5,sloc-bugs-4+
-0.4444444444,medium,1070.5,0.1241393095,no,sloc-bugs-3-4,sloc-bugs-4+
0.009255962976,negligible,1417.5,0.9369833311,no,sloc-bugs-0.5-1,sloc-bugs-1-2
0.01342525399,negligible,1396.5,0.9080292668,no,sloc-bugs-0.5-1,sloc-bugs-2-3
0.120236774,negligible,1514,0.2916392295,no,sloc-bugs-0.5-1,sloc-bugs-3-4
-0.3743988161,medium,1238.5,0.4640198268,no,sloc-bugs-0.5-1,sloc-bugs-4+
0.01995645864,negligible,1405.5,0.8624290223,no,sloc-bugs-1-2,sloc-bugs-2-3
0.119126896,negligible,1512.5,0.2961068652,no,sloc-bugs-1-2,sloc-bugs-3-4
-0.3854975953,medium,1239,0.4659843722,no,sloc-bugs-1-2,sloc-bugs-4+
0.08898944193,negligible,1444,0.4376373408,no,sloc-bugs-2-3,sloc-bugs-3-4
-0.3865007541,medium,1177,0.3265737819,no,sloc-bugs-2-3,sloc-bugs-4+